time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,0,0,10,40
9.0,0,0,10,40
10.0,0,0,0,50
11.0,0,0,0,50
12.0,0,0,0,50
13.0,0,0,0,50
14.0,0,0,0,50
15.0,0,0,0,50
16.0,0,0,0,50
17.0,0,0,0,50
18.0,0,0,0,50
19.0,0,0,0,50
20.0,0,0,0,50
21.0,0,0,0,50
22.0,1,0,0,50
23.0,1,0,0,50
24.0,1,0,0,50
25.0,2,0,0,50
26.0,3,0,0,50
27.0,3,0,0,50
28.0,3,0,0,50
29.0,4,0,0,50
30.0,4,0,0,50
31.0,4,0,0,50
32.0,4,0,0,50
33.0,5,0,0,50
34.0,6,1,0,49
35.0,6,1,0,49
36.0,7,2,0,48
37.0,8,2,0,48
38.0,8,2,0,48
39.0,9,3,0,47
40.0,9,3,0,47
41.0,9,3,0,47
42.0,9,3,0,47
43.0,9,3,0,47
44.0,10,4,0,46
45.0,12,6,0,44
46.0,14,8,0,42
47.0,18,12,0,38
48.0,18,12,0,38
49.0,18,11,1,38
50.0,18,11,1,38
51.0,18,10,1,39
52.0,18,10,0,40
53.0,19,11,0,39
54.0,21,12,0,38
55.0,22,13,0,37
56.0,27,18,0,32
57.0,28,19,0,31
58.0,29,20,0,30
59.0,29,18,1,31
60.0,31,19,2,29
61.0,31,17,3,30
62.0,31,13,5,32
63.0,31,13,3,34
64.0,31,13,2,35
65.0,31,13,0,37
66.0,31,13,0,37
67.0,31,13,0,37
68.0,31,12,1,37
69.0,32,11,3,36
70.0,34,12,4,34
71.0,35,8,8,34
72.0,35,7,9,34
73.0,36,7,10,33
74.0,36,7,10,33
75.0,36,5,12,33
76.0,37,6,5,39
77.0,39,7,5,38
78.0,40,8,5,37
79.0,40,8,5,37
80.0,42,10,5,35
81.0,42,10,5,35
82.0,42,10,5,35
83.0,43,11,5,34
84.0,43,10,6,34
85.0,43,8,8,34
86.0,44,8,8,34
87.0,44,8,8,34
88.0,44,7,9,34
89.0,44,7,6,37
90.0,44,7,6,37
91.0,44,6,7,37
92.0,44,5,8,37
93.0,44,4,9,37
94.0,44,3,9,38
95.0,44,2,10,38
96.0,44,2,4,44
97.0,44,2,4,44
98.0,45,2,2,46
99.0,45,2,2,46
100.0,45,2,2,46
101.0,45,1,2,47
102.0,45,1,2,47
103.0,45,1,2,47
104.0,45,1,1,48
105.0,45,1,1,48
106.0,45,1,1,48
107.0,45,1,1,48
108.0,45,1,0,49
109.0,46,2,0,48
110.0,46,2,0,48
111.0,46,2,0,48
112.0,46,2,0,48
113.0,46,1,1,48
114.0,46,1,1,48
115.0,46,1,1,48
116.0,47,1,1,48
117.0,48,2,1,47
118.0,48,2,1,47
119.0,48,2,1,47
120.0,49,2,1,47
