time,food,rest,wait,work
1.0,0,0,0,50
2.0,0,0,0,50
3.0,0,0,0,50
4.0,0,0,0,50
5.0,0,0,0,50
6.0,0,0,0,50
7.0,3,0,0,50
8.0,4,0,0,50
9.0,4,0,0,50
10.0,4,0,0,50
11.0,5,0,0,50
12.0,5,0,0,50
13.0,5,0,0,50
14.0,6,0,0,50
15.0,7,0,0,50
16.0,7,0,0,50
17.0,9,0,0,50
18.0,9,0,0,50
19.0,10,0,0,50
20.0,11,0,0,50
21.0,11,0,0,50
22.0,11,0,0,50
23.0,12,0,0,50
24.0,14,0,0,50
25.0,14,0,0,50
26.0,18,0,0,50
27.0,19,0,0,50
28.0,20,0,0,50
29.0,22,0,0,50
30.0,24,0,0,50
31.0,25,1,0,49
32.0,27,3,0,47
33.0,32,8,0,42
34.0,34,10,0,40
35.0,36,12,0,38
36.0,41,17,0,33
37.0,42,18,0,32
38.0,42,18,0,32
39.0,42,18,0,32
40.0,43,19,0,31
41.0,43,19,0,31
42.0,43,19,0,31
43.0,45,21,0,29
44.0,46,22,0,28
45.0,46,22,0,28
46.0,46,21,0,29
47.0,48,21,1,28
48.0,49,17,0,33
49.0,49,15,0,35
50.0,49,13,0,37
51.0,52,11,0,39
52.0,53,10,0,40
53.0,54,11,0,39
54.0,56,11,0,39
55.0,57,10,1,39
56.0,57,10,0,40
57.0,60,11,0,39
58.0,60,9,0,41
59.0,61,9,0,41
60.0,61,9,0,41
61.0,65,10,0,40
62.0,67,9,0,41
63.0,68,9,0,41
64.0,68,9,0,41
65.0,69,9,0,41
66.0,71,7,0,43
67.0,72,7,0,43
68.0,76,6,0,44
69.0,77,6,0,44
70.0,79,7,0,43
71.0,81,8,0,42
72.0,81,7,0,43
73.0,83,7,0,43
74.0,88,8,0,42
75.0,90,8,0,42
76.0,91,7,0,43
77.0,92,6,0,44
78.0,95,6,0,44
79.0,96,7,0,43
80.0,97,7,0,43
81.0,99,8,0,42
82.0,102,8,0,42
83.0,104,9,0,41
84.0,106,11,0,39
85.0,108,10,0,40
86.0,109,9,0,41
87.0,111,10,0,40
88.0,115,12,0,38
89.0,117,10,0,40
90.0,118,10,0,40
91.0,120,11,0,39
92.0,123,12,0,38
93.0,124,11,1,38
94.0,125,10,0,40
95.0,129,11,0,39
96.0,130,9,0,41
97.0,131,10,0,40
98.0,133,9,0,41
99.0,135,8,0,42
100.0,138,9,0,41
101.0,138,9,0,41
102.0,140,9,0,41
103.0,141,7,0,43
104.0,143,7,0,43
105.0,146,8,0,42
106.0,148,9,0,41
107.0,149,9,0,41
108.0,152,10,0,40
109.0,152,10,0,40
110.0,156,13,0,37
111.0,160,15,0,35
112.0,161,14,0,36
113.0,161,14,0,36
114.0,161,13,1,36
115.0,163,12,0,38
116.0,164,13,0,37
117.0,168,13,0,37
118.0,169,14,0,36
119.0,169,14,0,36
120.0,170,14,0,36
